S1,DateTime,N1,AC,PS,TI,U,LN,R2,Note1
CD,2018-05-01 14:20:00,Y,1074,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-01 14:20:00,Y,1005,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-01 14:20:00,N,1010,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-01 14:20:00,Y,1075,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-01 14:20:00,Y,1079,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-01 14:20:00,Y,1015,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-01 14:20:00,N,1919,C_038,15-91-SR,M/L,Bob,,Y
CD,2018-05-01 14:20:00,N,1017,C_038,15-91-SR,M/L,Bob,,Y
CD,2018-05-01 14:20:00,Y,1020,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-01 14:20:00,Y,1905,C_038,15-91-SR,U,Bob,,Y
CD,2018-05-01 14:20:00,N,1064,C_038,15-91-SR,U/C,Bob,,Y
CD,2018-05-01 14:20:00,Y,1022,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-01 14:20:00,Y,1024,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-01 14:20:00,N,1025,C_038,15-91-SR,M/L,Bob,,Y
CD,2018-05-01 14:20:00,Y,2905,C_038,15-91-SR,M/L,Bob,,Y
CD,2018-05-01 14:20:00,N,1915,C_038,15-91-SR,M/L,Bob,,Y
CD,2018-05-01 14:20:00,Y,1028,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-01 14:20:00,N,C164,C_038,15-91-SR,L,Bob,,Y
CD,2018-05-01 14:20:00,Y,1030,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-01 14:20:00,N,1031,C_038,15-91-SR,M/L,Bob,,Y
CD,2018-05-01 14:20:00,Y,1032,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-01 14:20:00,Y,1035,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-01 14:20:00,Y,1036,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-01 14:20:00,N,1040,C_038,15-91-SR,M/L,Bob,,Y
CD,2018-05-01 14:20:00,Y,1041,C_038,15-91-SR,M/L,Bob,,Y
CD,2018-05-01 14:20:00,Y,1920,C_038,15-91-SR,T,Bob,,Y
CD,2018-05-01 14:20:00,Y,1039,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-01 14:20:00,N,C253,C_038,15-91-SR,P,Bob,,Y
CD,2018-05-01 14:20:00,N,1042,C_038,15-91-SR,M/L,Bob,,Y
CD,2018-05-01 14:20:00,Y,1045,C_038,15-91-SR,U/L,Bob,,Y
