S1,DateTime,N1,AC,PS,TI,U,LN,R2
W,2018-02-21 13:35:00,N,2941,C_002,1-502-MD,U/L,Eaton,
W,2018-02-21 13:35:00,N,2950,C_002,1-502-MD,U/L,Eaton,
W,2018-02-21 13:35:00,N,2943,C_002,1-502-MD,U/L,Eaton,
W,2018-02-21 13:35:00,N,2942,C_002,1-502-MD,U/L,Eaton,
W,2018-02-21 13:44:00,N,2950,C_002,4-12-EP,U/L,Eaton,
W,2018-02-21 13:44:00,N,2941,C_002,4-12-EP,U/L,Eaton,
W,2018-02-21 13:44:00,N,2942,C_002,4-12-EP,U/L,Eaton,
W,2018-02-21 13:44:00,N,2944,C_002,4-12-EP,U/L,Eaton,
W,2018-02-21 13:44:00,N,2943,C_002,4-12-EP,U/L,Eaton,
W,2018-02-28 10:57:00,N,2950,C_002,1-502-MD,U/L,Eaton,
W,2018-02-28 10:57:00,N,2944,C_002,1-502-MD,U/L,Eaton,
W,2018-02-28 10:57:00,N,2941,C_002,1-502-MD,U/L,Eaton,
W,2018-02-28 10:57:00,N,2943,C_002,1-502-MD,U/L,Eaton,
W,2018-02-28 10:57:00,N,2942,C_002,1-502-MD,U/L,Eaton,
W,2018-02-28 11:05:00,N,2950,C_002,4-12-EP,U/L,Eaton,
W,2018-02-28 11:05:00,N,2943,C_002,4-12-EP,U/L,Eaton,
W,2018-02-28 11:05:00,N,2944,C_002,4-12-EP,U/L,Eaton,
W,2018-02-28 11:05:00,N,2941,C_002,4-12-EP,U/L,Eaton,
W,2018-02-28 11:05:00,N,2942,C_002,4-12-EP,U/L,Eaton,
W,2018-02-28 12:00:00,N,100,C_003,4-23-SR,N,Eddie,
W,2018-02-28 12:00:00,N,2920,C_003,4-23-SR,M/L,Eddie,
W,2018-03-08 14:05:00,N,2942,C_002,4-12-EP,U/L,Eaton,
W,2018-03-08 14:05:00,N,2941,C_002,4-12-EP,U/L,Eaton,
W,2018-03-08 14:05:00,N,2944,C_002,4-12-EP,U/L,Eaton,
W,2018-03-08 14:05:00,N,2950,C_002,4-12-EP,U/L,Eaton,
W,2018-03-08 14:05:00,N,2943,C_002,4-12-EP,U/L,Eaton,
W,2018-03-08 14:15:00,N,2950,C_002,1-502-MD,U/L,Eaton,
W,2018-03-08 14:15:00,N,2944,C_002,1-502-MD,U/L,Eaton,
W,2018-03-08 14:15:00,N,2941,C_002,1-502-MD,U/L,Eaton,
W,2018-03-08 14:15:00,N,2943,C_002,1-502-MD,U/L,Eaton,
W,2018-03-08 14:15:00,N,2942,C_002,1-502-MD,U/L,Eaton,
W,2018-03-14 12:50:00,N,2950,C_002,4-12-EP,U/L,Eaton,
W,2018-03-14 12:50:00,N,2941,C_002,1-502-MD,U/L,Eaton,
W,2018-03-14 12:50:00,N,2942,C_002,4-12-EP,U/L,Eaton,
W,2018-03-14 12:50:00,N,2944,C_002,1-502-MD,U/L,Eaton,
W,2018-03-14 12:50:00,N,1930,C_003,4-23-SR,M/L,Eaton,
W,2018-03-14 12:50:00,N,1930,C_002,1-502-MD,M/L,Eaton,
W,2018-03-14 12:50:00,N,2943,C_002,4-12-EP,U/L,Eaton,
W,2018-03-14 12:50:00,N,2941,C_002,4-12-EP,U/L,Eaton,
W,2018-03-14 12:50:00,N,2942,C_002,1-502-MD,U/L,Eaton,
W,2018-03-14 12:50:00,N,2950,C_002,1-502-MD,U/L,Eaton,
W,2018-03-14 12:50:00,N,2944,C_002,4-12-EP,U/L,Eaton,
W,2018-03-14 12:50:00,N,2943,C_002,1-502-MD,U/L,Eaton,
CD,2018-03-14 14:25:00,N,1005,C_048,15-35-SR,U/L,Eaton,
CD,2018-03-14 14:44:00,N,1005,C_012,15-87-SR,U/L,Eaton,
W,2018-03-14 14:58:00,N,1930,C_031,15-85-SR,M/L,Eaton,
W,2018-03-21 00:00:00,N,1930,C_043,15-8-SR,M/L,,
W,2018-03-21 11:12:00,N,2944,C_002,4-12-EP,U/L,Eaton,
W,2018-03-21 11:12:00,N,2950,C_002,4-12-EP,U/L,Eaton,
W,2018-03-21 11:12:00,N,2942,C_002,4-12-EP,U/L,Eaton,
W,2018-03-21 11:12:00,N,2943,C_002,4-12-EP,U/L,Eaton,
W,2018-03-21 11:12:00,N,2941,C_002,4-12-EP,U/L,Eaton,
W,2018-03-21 11:20:00,N,2942,C_002,1-502-MD,U/L,Eaton,
W,2018-03-21 11:20:00,N,2944,C_002,1-502-MD,U/L,Eaton,
W,2018-03-21 11:20:00,N,2941,C_002,1-502-MD,U/L,Eaton,
W,2018-03-21 11:20:00,N,2943,C_002,1-502-MD,U/L,Eaton,
W,2018-03-21 11:20:00,N,2950,C_002,1-502-MD,U/L,Eaton,
W,2018-03-21 13:32:00,N,1005,C_037,15-84-SR,U/L,Eaton,
W,2018-03-21 13:46:00,N,1005,C_007,15-82-SR,U/L,Eaton,
CD,2018-03-22 12:55:00,Y,2414,C_048,15-35-SR,U/L,Paula,
CD,2018-03-22 13:10:00,Y,2414,C_012,15-87-SR,U/L,Paula,
W,2018-03-22 13:33:00,N,1930,C_037,15-84-SR,M/L,Eaton,
W,2018-03-22 13:35:00,Y,2920,C_037,15-84-SR,M/L,Eddie,ND
W,2018-03-22 13:50:00,N,1930,C_007,15-82-SR,M/L,Eaton,
